Victims,Date,Type of attack,Location,Notes
"Judith Geraets, 3, female","August 17, 1810",Predatory,"Beringen, Helden, The Netherlands","A wolf killed a girl who was collecting cattle feed in the field with her ten-year-old sister at 8:00 pm. The wolf took the child into the moorland to eat the child. The next day her intestines were found during a drive-hunt. On September 2, a wolf was encountered with a child's head in his mouth."
"Victoire Polge, 7, male","October 6, 1809",Predatory,"Génolhac, France",A wolf or wolves were believed to have attacked and eaten a boy.
"Jean Almeras, 5, male","October 2, 1809",Predatory,"Ponteils, France",A wolf killed and ate a shepherd boy defending his flock.
"Adélaïde Simon, 9, female","June 10, 1809",Predatory,"Sénoncourt, France",A wolf killed a shepherd girl guarding her flock.
"Unknown, 10, male","June 3, 1809",Predatory,"Amance, France",A wolf killed a boy who was tending to livestock with two friends.
"Antoine Fleurot, 19, male","March 28, 1809",Predatory,"Saint-Léger-Vauban, France",A wolf or wolves killed and partially ate a man.
"Unknown, child, female",1807,Predatory,"Cugnet, France",A wolf or wolves killed and partially ate a girl.
Two children,"July, 1807",Predatory,"Near Beauvais, France",
"Unknown, 4, male","June 24, 1807",Predatory,"Yssingeaux, France",A wolf carried away and ate a boy.
"Vitaux, 8, male","June 13, 1807",Predatory,"Sacy, France",Starving wolves ate a boy.
"Unknown, child","June, 1807",Predatory,"Near Beauvais, France",A wolf killed one child and seriously injured another.
"Unknown, 4, female","July, 1806",Predatory,"Saint-Géry, France",A wolf partially ate a girl in front of her house.
"Berthe, 12, female","July 1, 1801",Predatory,"La Chapelle-Saint-André, France",A wolf killed and ate a girl and injured several other children.
"Midrouillet, 14, male","June 30, 1801",Predatory,"Colméry, France",
"Gayeux, 14, female","June 17, 1801",Predatory,"La Chapelle-Saint-André, France",A wolf ate a shepherd boy who was tending his flock.
"Coignet, 12, female","June 15, 1801",Predatory,"Menou, France",A wolf ate a shepherd girl who was tending her flock.
"Jean Aimard, 10, male","June 13, 1801",Predatory,"Oudan, France",A wolf ate a shepherd boy who was tending his flock.
"Jean Paisan, 5, male","June 12, 1801",Predatory,"Varzy, France",A wolf ate a shepherd boy who was tending his flock.
"Madeleine Champy, 10, female","May 25, 1801",Predatory,"Varzy, France","A wolf described as a ""greyhound"" or ""morning wolf"" killed and ate a girl."
"Unknown, about 6–8 years, female","December 28, 1800",Predatory,"Sørum, Akershus, Norway",
"Julien, child, female","July 7, 1799",Predatory,"Veyreau, France",
"Graille, child, male","July 7, 1799",Predatory,"Veyreau, France",
"Pierre-Jean Mauri, 6, male","June 23, 1799",Predatory,"Veyreau, France",
"François Nante, 10, male","November 4, 1797",Predatory,"La Tranclière, France",Wolves ate a boy.
"Unknown, 5","August 18, 1797",Predatory,"Viliers-sur-Loir, France","Wolves ate a child, prompting a large-scale hunt at Montoire."
"Jean Delpuech, 7, male","September 10, 1796",Predatory,"Pleaux, France","A wolf inflicted fatal injuries on a boy near the ""Dix-Maisons"" section."
8-10 children,"May 4, 1796",Predatory,"Donzy, France",
"Marie Angélique, 4, female","May 17, 1795",Predatory,"Morteau, France",A wolf killed and partially ate a girl.
"Maupin, 9, male","November 11, 1793",Predatory,"Perrancey, France",A wolf killed and ate a boy.
"Aubin Charles, 12, male","October 7, 1793",,"Sacquenay, France",A wolf inflicted fatal injuries on a boy.
"Nicolas Roth, 6, male","September 1, 1793",Predatory,"Selongey, France",A wolf or wolves killed and ate a boy near the Saint-Anne chapel.
"Anne Claude Berthiaux, child, female","June 20, 1793",Predatory,"Thervay, France",A wolf killed a girl.
11 children ,"July 4 – August 22, 1792 ",Predatory,Northern Italy ,"A single wolf was thought responsible for a dozen attacks on children, including nine fatalities, with several victims carried away and partially eaten. Six of the children had been tending to livestock, others were gathering wood or herbs. A wolf was subsequently captured in a pit on September 18 and killed."
"Anne Court, 25, female","June 19, 1788",Predatory,"Les Adrets-de-l'Estérel, France",
"François, 8, male","June 26, 1788",Predatory,"Plan de la Tour, France",A wolf or wolves killed and ate a boy during the night near the bastide of Guigonet.
"Dominique Pierruguès, 11, male","June 6, 1788",Predatory,"Callas, France",
"Unknown, 14, male","April 1, 1788",Predatory,"Brie, France","A wolf, described as ""monstrous"", ate a boy."
"Unknown, 10",1788,Predatory,"Castelnau-de-Brassac, France","Wolves attacked a boy in full daylight, inflicting fatal injuries."
"Unknown, child, male","August 29, 1787",Rabid,"Saint-Marcel, France",A wolf fatally injured a boy.
"Unknown, adult, male","September 25, 1786",Predatory,"Rabouillet, France",Five wolves attacked a man near his cabin.
Two men,1785,Predatory,"Mirebeau, France","Wolves, which were unknown in the area, killed two men."
"Geneviève Gauthier, 62, female","August 29, 1785",Predatory,"Baule, France","A wolf, which had terrorized the area for 5–6 months, fatally injured a woman."
"Louise Angélique Sainson, 18, female","June 22, 1785",Predatory,"Meung-sur-Loire, France",
"Madaleine Fournier, 40, female","February 28, 1784",Predatory,"Houssay, France",A starving wolf killed and partially ate a woman.
"Jeanne Crosnier, 60, female","February 28, 1784",Predatory,"Houssay, France",
"Unknown, 37, female","June 11, 1784",Predatory,"Vouzy, France",A wolf killed and ate a woman.
"Unknown, 10, male","April 15, 1783",Predatory,"Montsauche, France",A wolf dragged away and killed a shepherd boy who was guarding a flock with two other boys.
"Benoîte Branchu, 13, female","October 13, 1777",Predatory,"Cormaranche-en-Bugey, France",
"Philibert Martinaud, 3, female","October 9, 1777",Predatory,"Ruffieu, France",
"Unknown, 3","September 16, 1777",Predatory,"Dramely, France",A wolf dragged away and partially ate a child.
"Françoise Combet, 4, female","August 6, 1777",Predatory,"Hautville-Lompnes, France",
"Jean-Baptiste Flamier, 7, male","July 23, 1777",Predatory,"Arinthod, France",A wolf dragged a boy into a field and inflicted fatal injuries.
"Benoît Janin-Tivolet, 9, male","June 13, 1777",Predatory,"Hauteville-Lompnes, France",A wolf fatally injured a boy.
"Marie-Claudine Marillier, 4, female","April 2, 1777",Predatory,"Charchilla, France",
"Marchon, child","February, 1776",Predatory,"Valfin-sur-Valouse, France",A wolf killed and partially ate a child.
"Claude Joseph Comte, 5, male","November 11, 1776",Predatory,"Vescles, France",
"Joseph Charpillon, 7, male","September 4, 1776",Predatory,"Vescles, France",
"Claude-Marie Perrot, 8, female","August 22, 1776",Predatory,"Légna, France",
"Jeanne-Louise Robert, 7, female","June 17, 1776",Predatory,"Le Balme-de-Siligny, France",A wolf inflicted fatal bites on a girl.
"Unknown, 13, male","May 11, 1776",Predatory,"Onoz, France",Wolves killed and ate a boy.
17 children,1773,Predatory,"Arinthod, France",
"Isabelle Le Deuff, 9, female","August 13, 1773",Predatory,"Melgven, France","A wolf, thought to be a starving female, killed and ate a girl."
"Unknown, 8, female","August, 1773",Predatory,"Rosporden, France","A wolf carried away a girl, whose remains were found alongside those of an older person."
"Jean-Baptiste Leroy, 7, male","May 20, 1772",Predatory,"Saint-Ay, France",Wolf prints were found near a boy's remains.
"Nicolas Guillaumé, 4, male","December 4, 1772",Predatory,"Paucourt, France",
"Unknown, adult, male","October, 1771",Predatory,"Near Forges-les-Eaux, France",Wolves killed and partially ate a man.
"Unknown, child, male","September 23, 1770",Predatory,"Charleval, France",
"Unknown, child, male","September 22, 1770",Predatory,"Auzouville-sur-Ry, France","A wolf inflicted fatal injuries on a boy, despite his rescue by other children."
"Unknown, 11, female","September 21, 1770",Predatory,"Saint-Aignan-sur-Ry, France","A wolf called ""hare wolf"" killed a girl."
"Mulot, 8, male","September 13, 1770",Predatory,"Charleval, France","A white female wolf with pups killed a boy, raising rumours that the animal was a werewolf, a Jesuit or a witch."
"Passeleur, 6, female","September 8, 1770",Predatory,"Saint-Denis-le-Thiboult, France",
"Unknown, 7, male","September 8, 1770",Predatory,"Ry, France","A wolf called ""hare wolf"" dragged away and partially ate a boy."
14 people,"November 21, 1765 ",Rabid,"Orio Litta, Northern Italy.","In a series of attacks, a female wolf from the Adda woodlands bit 16 people as well as dogs and horses before being killed. A medic in Milan confirmed that it had been rabid."
113 people,June 1764 – June 1767,Predatory,"Gévaudan, France.","One or two abnormal wolves were believed responsible for the deaths of 113 people in 210 attacks, which stopped after Jean Chastel shot an oversized wolf with unusual coloration. However, the identity of the two killed wolves as the attackers and the taxonomic status of the attacking species are still a matter of controversy. See Beast of Gévaudan"
"Nils Nilsson, 8, male","January, 1763",Predatory,"Västergötland, Sweden",
"Antonio Selva, 65, male","August 15, 1747",Rabid,"Mottalciata, Northern Italy",A wolf bit a man on the head.
"Margherita Cracco, 12, female","August 26, 1738",Predatory,"Salussola, Northern Italy.",
"Maria Lozia, 14, female","June 29, 1738",Predatory,"Salussola, Northern Italy.",
"Maria Azeglio, 12, female","October 10, 1737",Predatory,"Salussola, Northern Italy.",
"Angela Maria Badone, 12, female","September 4, 1737",Predatory,"Massazza, Northern Italy.",A wolf killed and ate a shepherd girl who was tending her flock.
"Caterina Messerano, 11, female","July 5, 1737",Predatory,"Benna, Northern Italy.",A wolf or wolves killed a shepherd girl who was tending her flock.
"Angelica Maria Francesca Baijs, 8, female","October 13, 1736",Predatory,"Massazza, Northern Italy.",A wolf carried a girl away and inflicted fatal wounds before being chased away.
"Anna Caterina Barbero, 12, female","July 11, 1732",Predatory,"Salussola, Northern Italy.",
"Domenica Pozzo, 13, female","Holy Saturday, 1732",Predatory,"Zimone, Northern Italy.",
"Maria Borri Piombin, 14, female","April 27, 1732",Predatory,"Benna, Northern Italy.",
"Anna Maria Ferrero, 6, female","April 14, 1732",Predatory,"Roppolo, Northern Italy.",
"Margherita Noé, 6, female","March 30, 1732",Predatory,"Salussola, Northern Italy.",Wolves inflicted fatal injuries on a girl.
"Domenica Maria Rodda, 4, female","March 27, 1732",Predatory,"Cavaglià, Northern Italy.",A wolf or wolves inflicted fatal wounds on a girl.
"Borta Johansdotter, 12, female","August 3, 1731",Predatory,"Dalsland, Sweden",
"Margherita Garrone, 8, female",1730,Predatory,"Cavaglià, Northern Italy.",A wolf or wolves killed and partially ate a girl near her home.
"Bartolomeo Perazzone di Zimone, 9, male","September 18, 1729",Predatory,"Cavaglià, Northern Italy.",A wolf or wolves killed and partially ate a shepherd boy who was tending his flock.
"Caterina Cabrio, 2, female","July 10, 1729",Predatory,"Cavaglià, Northern Italy.",A wolf or wolves killed and partially ate a girl.
"Giuseppe Cabrio, 10, male","July 7, 1729",Predatory,"Cavaglià, Northern Italy.",
"Giovanni Battista Giaretti, 12, male","June 25, 1729",Predatory,"Cavaglià, Northern Italy.",A wolf or wolves killed a shepherd boy who was tending his flock.
"Jon Ersson, 9, maleJon Svensson, 4, male","January 6, 1728 and December 17, 1727",Predatory,"Värmland County, Sweden",One wolf was believed responsible for two separate attacks.
"Two shepherds, adults","April 29, 1711",Rabid,"Ronca, Northern Italy.",A wolf injured two shepherds who subsequently died from rabies infection. The animal was believed to have bitten over 100 livestock in San Lino del Belvedere and San Giovanni a Longe.
"Annunciata Maria Almasio, 7, female","September 9, 1705",Predatory,"Rebaù, Gorla Maggiore, Northern Italy.",A wolf or wolves were believed to have killed and partially eaten a girl.
"Maria Campascina, 65, female","August 28, 1705",Predatory,"Rebaù, Gorla Maggiore, Northern Italy.",A wolf or wolves were believed to have killed a woman who was working in a field.
"Anna Maria, 9, female","March, 1705",Predatory,"Gorla Maggiore, Northern Italy.",A wolf or wolves were believed to have killed and eaten a girl in her home.
16 people,1704,Predatory,"Varesotto, Northern Italy.",
"Unknown girl, age unknown, female ",1650 ,Predatory,"Holzhausen near Langenpreising, Germany ",A girl on the way from the Myrtenhof to Holzhausen was attacked and killed by a wolf. 
40+ Parisians ,1439 ,Predatory,"Paris, France ","During a harsh winter, a large pack of starving wolves began preying on Parisians, led by a red-furred wolf named Courtaud (French for Bobtail). The pack slipped into the Notre Dame Square one day and killed a group of 40 clergymen. Later, the people of Paris lured the pack into Notre Dame and ambushed them with arrows, spears and rocks, killing all the wolves, including Courtaud. "
"Radegund von Wellenburg, age unknown, female ","July 18, 1340 ",Unprovoked,"Bergheim near Augsburg, Germany, Germany ","Radegund was a maid at the castle of Wellenburg, the ancestral home of the Fugger family. She was on her way to care for sick people near the woods and was attacked by a wolf pack. Three days later she died of the injuries. "
